пшеCarNumber,Refund,Fines,Make,Model,fines
M581CH197RUS,1.0,100.0,Ford,Focus,1990
E79988152RUS,1.0,1500.0,Ford,Focus,2003
9496KX178RUS,1.0,500.0,Ford,Focus,1985
9488EY178RUS,1.0,1300.0,Ford,Focus,2015
T6319O50RUS,2.0,7860.9896432681,Ford,Focus,2009
H305T8197RUS,1.0,28100.0,Ford,Focus,2002
8201XX154RUS,2.0,2600.0,Ford,Focus,2008
O64297197RUS,1.0,300.0,Ford,Focus,2011
9523M8178RUS,1.0,600.0,Skoda,Octavia,1991
Y273O8197RUS,2.0,52600.0,Ford,Focus,2012
T6229O50RUS,2.0,2500.0,Ford,Focus,2011
9943KK197RUS,2.0,19800.0,Ford,Focus,2005
X023HY197RUS,2.0,10200.0,Volvo,,2013
8226XX154RUS,2.0,1000.0,Ford,Focus,2007
Y038TO197RUS,1.0,7600.0,Toyota,Corolla,2002
M0289X197RUS,2.0,40600.0,Ford,Focus,1983
E811HE77RUS,2.0,7000.0,Ford,Focus,2011
O785T9163RUS,1.0,500.0,Ford,Focus,2011
X795O796RUS,1.0,2000.0,Ford,Focus,2008
O39997197RUS,1.0,9000.0,Ford,Focus,1989
97968K152RUS,2.0,500.0,Ford,Focus,1995
K339T8197RUS,2.0,7860.9896432681,Ford,Focus,2007
9943OH154RUS,1.0,400.0,Skoda,Octavia,2005
H219X836RUS,1.0,1600.0,Ford,Focus,1987
X782CO96RUS,1.0,1000.0,Ford,Focus,2002
T6169O50RUS,1.0,500.0,Ford,Focus,2012
Y352O8197RUS,2.0,25900.0,Ford,Focus,1982
Y8399C197RUS,1.0,600.0,Ford,Focus,1991
T940CC96RUS,1.0,500.0,Ford,Focus,2011
94178K154RUS,1.0,500.0,Ford,Focus,1986
7365C8197RUS,2.0,6900.0,Ford,Focus,1998
9467EX178RUS,2.0,3700.0,Ford,Focus,2005
O78097197RUS,2.0,1400.0,Ford,Focus,1991
X5707X161RUS,2.0,500.0,Volkswagen,Passat,2005
Y232E877RUS,2.0,5000.0,Ford,Focus,1993
Y388E877RUS,2.0,19000.0,Ford,Focus,1985
X255HE161RUS,1.0,400.0,Ford,Focus,2002
E552MO152RUS,1.0,7860.9896432681,Ford,Focus,1994
97998K152RUS,2.0,6300.0,Ford,Focus,2015
Y963O8197RUS,2.0,21600.0,Ford,Focus,1981
Y778EE197RUS,2.0,168000.0,Volkswagen,Golf,1993
T654HT96RUS,2.0,2000.0,Toyota,Corolla,1980
T477KX197RUS,2.0,94000.0,Ford,Focus,2006
T2639T116RUS,1.0,3000.0,Ford,Focus,2001
O49797197RUS,2.0,5300.0,Ford,Focus,1998
708187163RUS,2.0,1000.0,Ford,Focus,1996
O83597197RUS,2.0,8000.0,Ford,Focus,2014
8601XX154RUS,2.0,3900.0,Skoda,Octavia,1996
H387TM197RUS,2.0,3200.0,Volkswagen,Passat,1984
O68897197RUS,1.0,8200.0,Ford,Focus,1999
72457Y96RUS,1.0,900.0,Ford,Focus,2009
7064C8197RUS,1.0,12800.0,Volkswagen,Passat,2000
E948C8152RUS,2.0,6000.0,Ford,Focus,2018
7248C8197RUS,2.0,34400.0,Ford,Mondeo,2015
C514X938RUS,2.0,7860.9896432681,Ford,Focus,2019
C589EY154RUS,1.0,4500.0,Ford,Focus,1993
C420X938RUS,1.0,3300.0,Ford,Focus,2010
K899T8197RUS,2.0,15400.0,Ford,Focus,2012
T6418M116RUS,2.0,24600.0,Ford,Focus,1998
8607XX154RUS,2.0,2400.0,Skoda,Octavia,2017
92778M178RUS,2.0,3000.0,Ford,Focus,1986
C476M7161RUS,2.0,500.0,Ford,Focus,1982
T288CT96RUS,1.0,4500.0,Ford,Focus,1999
9679EC178RUS,1.0,500.0,Ford,Focus,2011
9886HX152RUS,2.0,2900.0,Ford,Focus,2014
C583EY154RUS,1.0,1000.0,Ford,Focus,2008
7788KT197RUS,1.0,20000.0,Ford,Focus,2008
T016OX197RUS,2.0,9600.0,Toyota,Corolla,1992
T6419O50RUS,2.0,27000.0,Ford,Focus,1993
C592EY154RUS,1.0,1000.0,Ford,Focus,1996
T6459O50RUS,1.0,2000.0,Ford,Focus,2015
Y356O8197RUS,2.0,7860.9896432681,Ford,Focus,1995
X759HY197RUS,2.0,12500.0,Ford,Focus,1995
705787163RUS,1.0,100.0,Ford,Focus,1996
96429X178RUS,2.0,1300.0,Ford,Focus,2007
Y973O8197RUS,1.0,69600.0,Ford,Focus,1992
92898M178RUS,1.0,1600.0,Ford,Focus,2013
X023HY197RUS,1.0,6800.0,Volvo,,2019
9671EC178RUS,1.0,600.0,Ford,Focus,1986
M302CH161RUS,1.0,500.0,Ford,Focus,1993
X023HY197RUS,2.0,6800.0,Volvo,,1982
M578CH197RUS,2.0,9000.0,Ford,Focus,1988
O77997197RUS,2.0,5600.0,Ford,Focus,2003
7368C8197RUS,2.0,8800.0,Ford,Focus,2002
9683EC178RUS,2.0,6500.0,Ford,Focus,2013
Y207O8161RUS,1.0,500.0,Ford,Focus,1989
96659X178RUS,1.0,2700.0,Ford,Focus,1999
T912CT197RUS,2.0,19800.0,Toyota,Camry,2012
M256OH161RUS,1.0,1600.0,Ford,Focus,1980
7183TT36RUS,2.0,16200.0,Ford,Focus,1984
89557X197RUS,2.0,22400.0,Toyota,Camry,1992
E773EH197RUS,2.0,7860.9896432681,Ford,Focus,1988
Y359O8197RUS,1.0,2000.0,Ford,Focus,1994
K2817K154RUS,1.0,4500.0,Ford,Focus,2000
O017KO197RUS,1.0,1600.0,Ford,Focus,1999
E396MO152RUS,2.0,3000.0,Ford,Focus,2000
X758HY197RUS,2.0,145200.0,Ford,Focus,2012
X795O796RUS,1.0,1000.0,Ford,Focus,1998
Y964O8197RUS,1.0,1000.0,Ford,Focus,2000
H967HY161RUS,2.0,4500.0,Ford,Focus,2018
E394MO152RUS,2.0,10500.0,Ford,Focus,2007
O50699163RUS,1.0,1100.0,Ford,Focus,2002
9463EX178RUS,1.0,1400.0,Ford,Focus,2012
E53677152RUS,2.0,5500.0,Ford,Focus,1990
E33177152RUS,2.0,7100.0,Ford,Focus,1982
K338T8197RUS,2.0,17400.0,Ford,Focus,2004
O22097197RUS,2.0,24300.0,Ford,Focus,2013
Y4298M777RUS,2.0,2000.0,Skoda,Octavia,2005
Y687HM197RUS,1.0,7860.9896432681,BMW,,1999
8311XX154RUS,2.0,4300.0,Ford,Focus,2003
98037H178RUS,2.0,2500.0,Ford,Focus,2017
7828C8197RUS,2.0,6700.0,Ford,Focus,2016
H980HY161RUS,2.0,1800.0,Ford,Focus,1992
Y305E877RUS,1.0,2500.0,Ford,Focus,1981
8521XX154RUS,2.0,1000.0,Ford,Focus,2013
H906YK197RUS,1.0,12000.0,Ford,Focus,1994
7199MT197RUS,1.0,9300.0,Volkswagen,Golf,1991
X908XC197RUS,2.0,46000.0,Volkswagen,Jetta,2006
T171CC96RUS,2.0,2000.0,Ford,Focus,1990
X4108H125RUS,2.0,1300.0,Ford,Focus,1988
Y966O8197RUS,2.0,10400.0,Ford,Focus,2008
K2797K154RUS,2.0,2400.0,Ford,Focus,1985
X286TC36RUS,1.0,500.0,Ford,Focus,1992
7089H8163RUS,2.0,4400.0,Toyota,Corolla,2000
9883HX152RUS,1.0,500.0,Ford,Focus,1997
7841C8197RUS,1.0,12000.0,Ford,Focus,1988
9940KK197RUS,1.0,7860.9896432681,Ford,Focus,2008
H224X836RUS,2.0,7000.0,Ford,Focus,1991
9028CO161RUS,2.0,1500.0,Ford,Focus,1987
H971HY161RUS,2.0,7400.0,Ford,Focus,1982
8610T8154RUS,1.0,2000.0,Ford,Focus,1982
M0269X197RUS,2.0,20600.0,Ford,Focus,2004
E316EH197RUS,1.0,1300.0,Volkswagen,Touareg,1988
T6359O50RUS,2.0,13500.0,Ford,Focus,2019
X257HE161RUS,1.0,5000.0,Ford,Focus,1989
H844YH197RUS,2.0,3000.0,Ford,Focus,1996
9523M8178RUS,2.0,300.0,Skoda,Octavia,2000
Y195O8161RUS,2.0,100.0,Ford,Focus,2004
9137X938RUS,1.0,1600.0,Ford,Focus,2001
E33477152RUS,1.0,500.0,Ford,Focus,2016
Y156E877RUS,2.0,7500.0,Ford,Focus,1990
E396MO152RUS,2.0,3000.0,Ford,Focus,1996
9939KK197RUS,1.0,1600.0,Ford,Focus,1990
E0697X152RUS,2.0,7860.9896432681,Skoda,Octavia,1992
H908YK197RUS,2.0,4800.0,Ford,Focus,1989
Y969O8197RUS,1.0,15600.0,Ford,Focus,1995
9028CO161RUS,1.0,1500.0,Ford,Focus,2016
9502XX38RUS,1.0,3000.0,Skoda,Octavia,1990
7840C8197RUS,2.0,3500.0,Ford,Focus,1989
T6249O50RUS,2.0,8500.0,Ford,Focus,2009
E53677152RUS,2.0,11000.0,Ford,Focus,1989
E42377152RUS,2.0,3000.0,Ford,Focus,2013
X256HE161RUS,2.0,1600.0,Ford,Focus,2003
9941KK197RUS,1.0,800.0,Ford,Focus,2017
E28877161RUS,1.0,500.0,Ford,Focus,2013
M0299X197RUS,2.0,19200.0,Ford,Focus,1981
M372CH197RUS,1.0,21600.0,Ford,Focus,1992
K040CC197RUS,2.0,3600.0,Ford,Focus,2018
E41577152RUS,2.0,3000.0,Ford,Focus,2003
9763HY161RUS,1.0,900.0,Ford,Focus,1984
T535ET96RUS,2.0,3000.0,Ford,Focus,1982
92918M178RUS,2.0,7600.0,Ford,Focus,2016
Y655E8750RUS,1.0,2600.0,Skoda,Octavia,2007
K2797K154RUS,1.0,7860.9896432681,Ford,Focus,1999
K559KC161RUS,1.0,200.0,Ford,Focus,1984
7369C8197RUS,2.0,10100.0,Ford,Focus,1990
T6359O50RUS,2.0,13500.0,Ford,Focus,2013
8321XX154RUS,1.0,200.0,Ford,Focus,2014
O134HE197RUS,2.0,11400.0,Ford,Focus,2016
H961HY161RUS,2.0,2500.0,Ford,Focus,1994
M2169X197RUS,2.0,3100.0,Ford,Focus,1994
707987163RUS,1.0,1100.0,Ford,Focus,2008
8234XX154RUS,1.0,1300.0,Ford,Focus,1998
9938KK197RUS,1.0,28500.0,Ford,Focus,1983
X759HY197RUS,1.0,37500.0,Ford,Focus,1995
M375CH197RUS,1.0,18100.0,Ford,Focus,2012
C803KE163RUS,1.0,1000.0,Volkswagen,Jetta,1994
O83697197RUS,2.0,6100.0,Ford,Focus,2005
92918M178RUS,1.0,1900.0,Ford,Focus,1993
92928M178RUS,1.0,1200.0,Ford,Focus,1999
E52677152RUS,2.0,2500.0,Ford,Focus,2004
8451M7154RUS,1.0,500.0,Ford,Focus,2012
9589EY178RUS,1.0,7860.9896432681,Ford,Focus,1986
H907YK197RUS,2.0,7100.0,Ford,Focus,2007
O39897197RUS,2.0,3800.0,Ford,Focus,1997
M3879X197RUS,2.0,6300.0,Volkswagen,Touareg,1982
H618YC38RUS,1.0,300.0,Volkswagen,Golf,2008
C299K9154RUS,1.0,500.0,Ford,Focus,2015
M0299X197RUS,1.0,9600.0,Ford,Focus,2012
8437XX154RUS,2.0,800.0,Ford,Focus,2005
9468EX178RUS,1.0,4000.0,Ford,Focus,2007
M375CH197RUS,2.0,18100.0,Ford,Focus,2007
H982HY161RUS,1.0,300.0,Ford,Focus,2013
8201XX154RUS,1.0,7800.0,Ford,Focus,2008
8224XX154RUS,1.0,2500.0,Ford,Focus,2006
O22397197RUS,1.0,18500.0,Ford,Focus,2007
Y653E8750RUS,1.0,500.0,Skoda,Octavia,2004
708487163RUS,1.0,1000.0,Ford,Focus,2019
K558KC161RUS,1.0,500.0,Ford,Focus,2000
O058M7161RUS,1.0,1900.0,Ford,Focus,1992
9468EX178RUS,1.0,2000.0,Ford,Focus,2017
M256OH161RUS,2.0,1600.0,Ford,Focus,2003
7183TT36RUS,2.0,5400.0,Ford,Focus,1986
T242H8197RUS,2.0,7860.9896432681,Skoda,Octavia,1993
K27188138RUS,1.0,2000.0,Ford,Focus,2007
X782CO96RUS,1.0,1000.0,Ford,Focus,1993
Y7659C197RUS,1.0,1500.0,Ford,Focus,1986
X523OM161RUS,1.0,400.0,Ford,Focus,1983
T686EO197RUS,2.0,1000.0,Toyota,Camry,1989
96629X178RUS,1.0,7000.0,Ford,Focus,1987
9881HX152RUS,2.0,10300.0,Ford,Focus,1988
9020YC197RUS,2.0,72500.0,Skoda,Octavia,1992
T479KX197RUS,2.0,12000.0,Ford,Focus,2000
M680T9152RUS,2.0,9000.0,Volkswagen,Jetta,1984
7831C8197RUS,2.0,6800.0,Ford,Focus,1982
7364C8197RUS,2.0,4500.0,Ford,Focus,1996
7844C8197RUS,2.0,17000.0,Ford,Focus,2011
9068EM178RUS,1.0,600.0,Ford,Focus,1987
T011MY163RUS,2.0,4000.0,Ford,Focus,1999
C410X938RUS,1.0,1100.0,Ford,Focus,1989
X762HY197RUS,1.0,500.0,Ford,Focus,1990
9470EX178RUS,1.0,500.0,Ford,Focus,2002
X4128H125RUS,2.0,7860.9896432681,Ford,Focus,2010
M373CH197RUS,2.0,6600.0,Ford,Focus,2013
9762HY161RUS,2.0,2600.0,Ford,Focus,1993
8610T8154RUS,1.0,2000.0,Ford,Focus,1999
H419XE197RUS,2.0,6900.0,Toyota,Corolla,2001
98017H178RUS,1.0,1500.0,Ford,Focus,1996
Y780EE197RUS,2.0,4600.0,Volkswagen,Golf,1993
M580CH197RUS,2.0,9500.0,Ford,Focus,1986
T686EO197RUS,1.0,1000.0,Toyota,Camry,2013
9943OH154RUS,1.0,400.0,Skoda,Octavia,2010
Y354O8197RUS,1.0,10800.0,Ford,Focus,2006
7065C8197RUS,1.0,3800.0,Volkswagen,Passat,1991
9938KK197RUS,1.0,28500.0,Ford,Focus,2008
E28777161RUS,1.0,800.0,Ford,Focus,1994
M701T9152RUS,2.0,3000.0,Ford,Focus,2009
E577HE77RUS,2.0,12000.0,Ford,Focus,2000
Y194O8161RUS,2.0,900.0,Ford,Focus,2005
92788M178RUS,1.0,1200.0,Ford,Focus,2002
9072EM178RUS,2.0,4400.0,Ford,Focus,2011
9409H7178RUS,1.0,3000.0,Skoda,Octavia,1999
C3829X154RUS,2.0,13500.0,Ford,Focus,1995
T478KX197RUS,2.0,7500.0,Ford,Focus,1993
T119CT96RUS,1.0,2000.0,Ford,Focus,1987
X795O796RUS,1.0,1000.0,Ford,Focus,2017
708487163RUS,1.0,1000.0,Ford,Focus,1980
H983HY161RUS,1.0,500.0,Ford,Focus,1998
7842C8197RUS,1.0,6000.0,Ford,Focus,1985
O64097197RUS,2.0,7860.9896432681,Ford,Focus,1995
Y693HM197RUS,2.0,6500.0,BMW,,2011
96857X197RUS,1.0,37800.0,Skoda,Octavia,1985
7177TT36RUS,1.0,500.0,Ford,Focus,1986
H908YK197RUS,1.0,4800.0,Ford,Focus,2010
9428EX178RUS,1.0,500.0,Ford,Focus,2006
84438C154RUS,2.0,7600.0,Ford,Focus,2000
Y7689C197RUS,2.0,9000.0,Ford,Focus,1988
H427YH197RUS,1.0,9900.0,Volkswagen,Passat,2019
T394KX197RUS,2.0,1500.0,Ford,Focus,1994
O49897197RUS,2.0,11800.0,Ford,Focus,1999
H963X936RUS,1.0,1800.0,Skoda,Octavia,1989
T341CC96RUS,2.0,1000.0,Volkswagen,Passat,2015
9942KK197RUS,2.0,6200.0,Ford,Focus,2012
9141H8178RUS,1.0,300.0,Skoda,Octavia,2007
9942KK197RUS,2.0,3100.0,Ford,Focus,1983
7370C8197RUS,2.0,5000.0,Ford,Focus,1999
9890HX152RUS,2.0,9200.0,Ford,Focus,2018
9409H7178RUS,1.0,6000.0,Skoda,Octavia,2005
M268CH197RUS,1.0,800.0,Toyota,Camry,1987
Y780EE197RUS,1.0,2300.0,Volkswagen,Golf,2009
Y388E877RUS,2.0,9500.0,Ford,Focus,1989
C419X938RUS,1.0,1100.0,Ford,Focus,1989
M0319X197RUS,2.0,4500.0,Ford,Focus,1981
M577CH197RUS,2.0,17000.0,Ford,Focus,2005
7361C8197RUS,1.0,7860.9896432681,Ford,Focus,2013
H975HY161RUS,1.0,2000.0,Ford,Focus,1980
X018HY197RUS,2.0,10600.0,Toyota,Camry,1992
E33177152RUS,2.0,7100.0,Ford,Focus,1995
X256HE161RUS,2.0,1600.0,Ford,Focus,2007
Y7689C197RUS,2.0,45000.0,Ford,Focus,1991
Y969O8197RUS,2.0,7800.0,Ford,Focus,2016
7788KT197RUS,2.0,4000.0,Ford,Focus,2016
9491H7178RUS,1.0,500.0,Volkswagen,Jetta,1990
M374CH197RUS,1.0,5500.0,Ford,Focus,2015
96679X178RUS,2.0,2400.0,Ford,Focus,2011
9594HY161RUS,1.0,300.0,Ford,Focus,1983
83218C154RUS,1.0,100.0,Ford,Focus,2008
9764HY161RUS,1.0,800.0,Ford,Focus,1992
708187163RUS,1.0,1000.0,Ford,Focus,1992
H908YK197RUS,1.0,4800.0,Ford,Focus,2004
H004MH197RUS,2.0,19800.0,Ford,Focus,2010
92788M178RUS,1.0,300.0,Ford,Focus,1988
Y656E8750RUS,1.0,7860.9896432681,Skoda,Octavia,1982
9679EC178RUS,1.0,500.0,Ford,Focus,2000
M0279X197RUS,1.0,36000.0,Ford,Focus,2013
O017KO197RUS,1.0,1600.0,Ford,Focus,1994
H957HY161RUS,1.0,1000.0,Ford,Focus,2003
X320MK197RUS,2.0,7500.0,Ford,Focus,1996
X286TC36RUS,1.0,500.0,Ford,Focus,2016
C803KE163RUS,1.0,1000.0,Volkswagen,Jetta,1999
Y7379Y50RUS,2.0,2000.0,Ford,Focus,2007
X320MK197RUS,1.0,7500.0,Ford,Focus,2013
C476M7161RUS,2.0,500.0,Ford,Focus,1991
H844YH197RUS,1.0,1000.0,Ford,Focus,2017
96907X197RUS,2.0,3000.0,BMW,,2004
Y650E8750RUS,1.0,1000.0,Skoda,Octavia,2018
H235YH197RUS,2.0,5100.0,Skoda,Octavia,1990
9474EX178RUS,1.0,500.0,Ford,Focus,2008
Y8259C197RUS,1.0,1500.0,Ford,Focus,2019
E29577161RUS,1.0,500.0,Ford,Focus,1995
X761HY197RUS,2.0,18300.0,Ford,Focus,1980
H387TM197RUS,1.0,7860.9896432681,Volkswagen,Passat,2003
T396KX197RUS,2.0,10300.0,Ford,Focus,2015
C593EY154RUS,1.0,1000.0,Ford,Focus,1987
Y164O8161RUS,1.0,800.0,Ford,Focus,1992
M942OT152RUS,1.0,2000.0,Ford,Focus,2016
T195OK161RUS,2.0,6700.0,Ford,Mondeo,2007
T476KX197RUS,2.0,4500.0,Ford,Focus,1997
H889YK197RUS,2.0,21200.0,Ford,Focus,2009
Y7429Y50RUS,2.0,2000.0,Ford,Focus,2000
H976HY161RUS,2.0,2200.0,Ford,Focus,2017
C410X938RUS,2.0,2200.0,Ford,Focus,2004
Y195O8161RUS,1.0,100.0,Ford,Focus,2002
O669E8197RUS,1.0,18000.0,Ford,Focus,1987
Y187O8161RUS,2.0,400.0,Ford,Focus,1999
K329T8197RUS,2.0,13000.0,Skoda,Octavia,2012
96659X178RUS,1.0,900.0,Ford,Focus,1982
7842C8197RUS,2.0,12000.0,Ford,Focus,2007
O275O7161RUS,1.0,8300.0,Ford,Focus,1981
7784KT197RUS,2.0,6600.0,Ford,Focus,2002
9677MO178RUS,1.0,2200.0,Ford,Mondeo,1998
H957HY161RUS,1.0,7860.9896432681,Ford,Focus,1987
M0279X197RUS,2.0,36000.0,Ford,Focus,1988
7784KT197RUS,2.0,6600.0,Ford,Focus,2017
9939KK197RUS,1.0,1600.0,Ford,Focus,2018
Y8399C197RUS,1.0,600.0,Ford,Focus,2013
M373CH197RUS,2.0,6600.0,Ford,Focus,1987
7164YM36RUS,2.0,18800.0,Ford,Focus,1994
7843C8197RUS,2.0,4100.0,Ford,Focus,1993
O753MX161RUS,2.0,700.0,Ford,Focus,1980
9468EX178RUS,2.0,2000.0,Ford,Focus,1993
T395KX197RUS,2.0,7600.0,Ford,Focus,2019
T6488M116RUS,2.0,21000.0,Ford,Focus,1989
7361C8197RUS,1.0,800.0,Ford,Focus,1996
98047H178RUS,1.0,500.0,Ford,Focus,1993
8316XX154RUS,1.0,1100.0,Ford,Focus,2001
O752MX161RUS,2.0,2600.0,Ford,Focus,2015
8234XX154RUS,2.0,2600.0,Ford,Focus,2010
9488EY178RUS,2.0,1300.0,Ford,Focus,1991
96857X197RUS,2.0,18900.0,Skoda,Octavia,1997
O481OH77RUS,2.0,1000.0,Toyota,Camry,1980
K326T8197RUS,1.0,100.0,Volkswagen,Passat,2014
90159H178RUS,1.0,7860.9896432681,Volkswagen,Passat,2009
9469EX178RUS,1.0,4200.0,Ford,Focus,1986
X796TH96RUS,1.0,500.0,Ford,Focus,2002
9499KX178RUS,1.0,4600.0,Ford,Focus,1993
Y358O8197RUS,2.0,21800.0,Ford,Focus,1980
C420X938RUS,2.0,3300.0,Ford,Focus,1980
Y965O8197RUS,2.0,1600.0,Ford,Focus,1994
96429X178RUS,2.0,1300.0,Ford,Focus,2017
Y274O8197RUS,2.0,10700.0,Ford,Focus,2018
Y358O8197RUS,1.0,43600.0,Ford,Focus,2002
E223YM197RUS,2.0,19500.0,Ford,Focus,1987
E42277152RUS,2.0,5300.0,Ford,Focus,1989
E34877152RUS,2.0,36600.0,Ford,Focus,2011
Y964EE197RUS,2.0,7860.9896432681,Ford,Focus,1984
T6049O50RUS,2.0,15000.0,Ford,Focus,2014
8601XX154RUS,1.0,3900.0,Skoda,Octavia,2010
H259HY161RUS,1.0,900.0,Toyota,Corolla,2006
T940CC96RUS,1.0,500.0,Ford,Focus,1998
T288CT96RUS,1.0,1500.0,Ford,Focus,2009
Y6839Y50RUS,1.0,1500.0,Ford,Focus,1990
Y344E877RUS,1.0,1000.0,Ford,Focus,2000
K889HY161RUS,2.0,46200.0,Ford,Mondeo,1999
H214X836RUS,1.0,8000.0,Ford,Focus,1995
T399KX197RUS,2.0,15300.0,Ford,Focus,1981
O421OT161RUS,1.0,1200.0,Skoda,Octavia,2013
H232YH197RUS,1.0,7860.9896432681,Ford,Focus,2003
7360C8197RUS,2.0,9600.0,Ford,Focus,1994
T6418M116RUS,1.0,49200.0,Ford,Focus,1992
7248C8197RUS,2.0,34400.0,Ford,Mondeo,1998
Y194O8161RUS,2.0,900.0,Ford,Focus,2001
9881HX152RUS,2.0,20600.0,Ford,Focus,2014
T6359O50RUS,2.0,13500.0,Ford,Focus,1994
E29677161RUS,2.0,6000.0,Ford,Focus,2017
T020MM116RUS,2.0,3000.0,Skoda,Octavia,2016
C798ET50RUS,1.0,5000.0,Ford,Focus,1982
Y7719C197RUS,2.0,4600.0,Ford,Focus,1992
9502XX38RUS,1.0,3000.0,Skoda,Octavia,2019
8521XX154RUS,1.0,1000.0,Ford,Focus,2011
Y273O8197RUS,2.0,26300.0,Ford,Focus,2008
M580CH197RUS,2.0,47500.0,Ford,Focus,1995
K376HE161RUS,1.0,100.0,Ford,Focus,1982
7193TT36RUS,2.0,3300.0,Ford,Focus,2013
O785T9163RUS,1.0,500.0,Ford,Focus,2004
H618YC38RUS,1.0,300.0,Volkswagen,Golf,2014
Y7689C197RUS,1.0,36000.0,Ford,Focus,1994
M592CH197RUS,1.0,3500.0,Skoda,Octavia,2008
Y352O8197RUS,2.0,77700.0,Ford,Focus,2014
9068EM178RUS,1.0,600.0,Ford,Focus,1984
7783KT197RUS,1.0,6000.0,Ford,Focus,2014
Y305E877RUS,2.0,2500.0,Ford,Focus,2005
E881OT197RUS,2.0,5500.0,Skoda,Octavia,1985
Y8259C197RUS,2.0,3000.0,Ford,Focus,1993
Y969O8197RUS,2.0,7800.0,Ford,Focus,1998
92928M178RUS,2.0,3000.0,Ford,Focus,2010
O718MM163RUS,2.0,7000.0,Ford,Focus,1995
Y7129Y50RUS,1.0,7860.9896432681,Ford,Focus,2005
9975CC77RUS,2.0,7000.0,Ford,Focus,1999
C592EY154RUS,1.0,2000.0,Ford,Focus,1993
7364C8197RUS,1.0,4500.0,Ford,Focus,1988
T195OK161RUS,1.0,6700.0,Ford,Mondeo,1993
Y966O8197RUS,2.0,20800.0,Ford,Focus,1987
T914CT197RUS,2.0,7200.0,Toyota,Camry,2018
E41977152RUS,2.0,2400.0,Ford,Focus,1997
T171CC96RUS,1.0,1000.0,Ford,Focus,2002
9464EX178RUS,2.0,2100.0,Ford,Focus,1990
O50197197RUS,2.0,7800.0,Ford,Focus,1982
7608EE777RUS,1.0,4000.0,Skoda,Octavia,1985
X583HE161RUS,1.0,3000.0,Ford,Focus,1985
Y7229Y50RUS,2.0,2500.0,Ford,Focus,1983
M6977E152RUS,1.0,500.0,Ford,Focus,1988
K2797K154RUS,1.0,800.0,Ford,Focus,1996
8325M7154RUS,1.0,1000.0,Ford,Focus,1981
Y192O8161RUS,2.0,300.0,Ford,Focus,1983
7784KT197RUS,1.0,6600.0,Ford,Focus,2004
96599X178RUS,1.0,500.0,Ford,Focus,1984
X760HY197RUS,1.0,10100.0,Ford,Focus,1982
Y358O8197RUS,2.0,10900.0,Ford,Focus,1991
H966HY161RUS,1.0,500.0,Ford,Focus,1999
9938KK197RUS,2.0,28500.0,Ford,Focus,2018
98087H178RUS,1.0,7860.9896432681,Ford,Focus,1991
K2807K154RUS,1.0,500.0,Ford,Focus,2017
H977HY161RUS,1.0,600.0,Ford,Focus,2002
7367C8197RUS,1.0,6000.0,Ford,Focus,2015
9137X938RUS,1.0,1600.0,Ford,Focus,2018
Y356O8197RUS,2.0,15300.0,Ford,Focus,2015
9398MM199RUS,1.0,300.0,Volkswagen,Passat,2011
8436XX154RUS,1.0,2400.0,Ford,Focus,1990
8180XX154RUS,2.0,1400.0,Ford,Focus,2017
E53477152RUS,1.0,7200.0,Ford,Focus,2001
O718MM163RUS,2.0,3500.0,Ford,Focus,2008
9677MO178RUS,1.0,1100.0,Ford,Mondeo,2013
9498KX178RUS,1.0,4000.0,Ford,Focus,1994
K436MO152RUS,2.0,3000.0,Ford,Focus,1997
7194TT36RUS,2.0,2300.0,Ford,Focus,2012
7364C8197RUS,2.0,4500.0,Ford,Focus,1981
O136HO197RUS,2.0,7800.0,Toyota,Corolla,1992
O68897197RUS,2.0,12300.0,Ford,Focus,2007
O718MM163RUS,2.0,7860.9896432681,Ford,Focus,2005
7065C8197RUS,2.0,11400.0,Volkswagen,Passat,1997
O22097197RUS,1.0,24300.0,Ford,Focus,1985
Y163O8161RUS,2.0,1600.0,Ford,Focus,1998
M0309X197RUS,1.0,22300.0,Ford,Focus,1987
O673E8197RUS,2.0,600.0,Ford,Focus,1996
8610T8154RUS,1.0,2000.0,Ford,Focus,2013
H419XE197RUS,2.0,7860.9896432681,Toyota,Corolla,1994
A001AA99RUS,2.0,1500.0,Tesla,Model S,2021
B002BB77RUS,1.0,500.0,Kia,Rio,2019
C003CC152RUS,2.0,2500.0,Haval,Jolion,2022
D004DD50RUS,1.0,1000.0,Geely,Coolray,2023
E005EE178RUS,2.0,5000.0,Lada,Vesta,2020
